,show_number,air_date,round,category_title,value,data_q,data_a,classes,combined,filtered_sentence
11,4680,12/31/2004,Jeopardy!,3-LETTER WORDS,$400 ,Cows regurgitate this from the first stomach to the mouth & chew it again,the cud,nature,3-LETTER WORDS Cows regurgitate this from the first stomach to the mouth & chew it again the cud,3-letter words cows regurgitate first stomach mouth & chew cud
12,4680,12/31/2004,Jeopardy!,HISTORY,$600 ,In 1000 Rajaraja I of the Cholas battled to take this Indian Ocean island now known for its tea,Ceylon (or Sri Lanka),geography,HISTORY In 1000 Rajaraja I of the Cholas battled to take this Indian Ocean island now known for its tea Ceylon (or Sri Lanka),history 1000 rajaraja cholas battled take indian ocean island known tea ceylon (or sri lanka)
13,4680,12/31/2004,Jeopardy!,ESPN's TOP 10 ALL-TIME ATHLETES,$600 ,"""No. 1: Lettered in hoops, football & lacrosse at Syracuse & if you think he couldn't act, ask his 11 """"unclean"""" buddies""",Jim Brown,people,"""ESPN's TOP 10 ALL-TIME ATHLETES No. 1: Lettered in hoops, football & lacrosse at Syracuse & if you think he couldn't act, ask his 11 """"unclean"""" buddies Jim Brown""","""espn's top 10 all-time athletes no. 1: lettered hoops, football & lacrosse syracuse & think act, ask 11 """"unclean"""" buddies jim brown"""
14,4680,12/31/2004,Jeopardy!,EVERYBODY TALKS ABOUT IT...,$600 ,"On June 28, 1994 the nat'l weather service began issuing this index that rates the intensity of the sun's radiation",the UV index,science,"EVERYBODY TALKS ABOUT IT... On June 28, 1994 the nat'l weather service began issuing this index that rates the intensity of the sun's radiation the UV index","everybody talks it... june 28, 1994 nat'l weather service began issuing index rates intensity sun's radiation uv index"
15,4680,12/31/2004,Jeopardy!,THE COMPANY LINE,$600 ,"This company's Accutron watch, introduced in 1960, had a guarantee of accuracy to within one minute a month",Bulova,organizations,"THE COMPANY LINE This company's Accutron watch, introduced in 1960, had a guarantee of accuracy to within one minute a month Bulova","company line company's accutron watch, introduced 1960, guarantee accuracy within one minute month bulova"
16,4680,12/31/2004,Jeopardy!,EPITAPHS & TRIBUTES,$600 ,"""Outlaw: """"Murdered by a traitor and a coward whose name is not worthy to appear here""""""",Jesse James,people,"""EPITAPHS & TRIBUTES Outlaw: """"Murdered by a traitor and a coward whose name is not worthy to appear here"""" Jesse James""","""epitaphs & tributes outlaw: """"murdered traitor coward whose name worthy appear here"""" jesse james"""
17,4680,12/31/2004,Jeopardy!,3-LETTER WORDS,$600 ,"A small demon, or a mischievous child (who might be a little demon!)",imp,language,"3-LETTER WORDS A small demon, or a mischievous child (who might be a little demon!) imp","3-letter words small demon, mischievous child (who might little demon!) imp"
18,4680,12/31/2004,Jeopardy!,HISTORY,$800 ,Karl led the first of these Marxist organizational efforts; the second one began in 1889,the International,history,HISTORY Karl led the first of these Marxist organizational efforts; the second one began in 1889 the International,history karl led first marxist organizational efforts; second one began 1889 international
19,4680,12/31/2004,Jeopardy!,ESPN's TOP 10 ALL-TIME ATHLETES,$800 ,"""No. 10: FB/LB for Columbia U. in the 1920s; MVP for the Yankees in '27 & '36; """"Gibraltar in Cleats""""""",(Lou) Gehrig,people,"""ESPN's TOP 10 ALL-TIME ATHLETES No. 10: FB/LB for Columbia U. in the 1920s; MVP for the Yankees in '27 & '36; """"Gibraltar in Cleats"""" (Lou) Gehrig""","""espn's top 10 all-time athletes no. 10: fb/lb columbia u. 1920s; mvp yankees '27 & '36; """"gibraltar cleats"""" (lou) gehrig"""
20,4680,12/31/2004,Jeopardy!,EVERYBODY TALKS ABOUT IT...,$800 ,"Africa's lowest temperature was 11 degrees below zero in 1935 at Ifrane, just south of Fez in this country",Morocco,geography,"EVERYBODY TALKS ABOUT IT... Africa's lowest temperature was 11 degrees below zero in 1935 at Ifrane, just south of Fez in this country Morocco","everybody talks it... africa's lowest temperature 11 degrees zero 1935 ifrane, south fez country morocco"
21,4680,12/31/2004,Jeopardy!,THE COMPANY LINE,$800 ,Edward Teller & this man partnered in 1898 to sell high fashions to women,(Paul) Bonwit,people,THE COMPANY LINE Edward Teller & this man partnered in 1898 to sell high fashions to women (Paul) Bonwit,company line edward teller & man partnered 1898 sell high fashions women (paul) bonwit
22,4680,12/31/2004,Jeopardy!,EPITAPHS & TRIBUTES,"$2,000 ","""1939 Oscar winner: """"...you are a credit to your craft"," your race and to your family""""""",Hattie McDaniel (for her role in Gone with the Wind),people,people
23,4680,12/31/2004,Jeopardy!,3-LETTER WORDS,$800 ,"In geologic time one of these, shorter than an eon, is divided into periods & subdivided into epochs",era,language,"3-LETTER WORDS In geologic time one of these, shorter than an eon, is divided into periods & subdivided into epochs era","3-letter words geologic time one these, shorter eon, divided periods & subdivided epochs era"
24,4680,12/31/2004,Jeopardy!,HISTORY,"$1,000 ","""This Asian political party was founded in 1885 with """"Indian National"""" as part of its name""",the Congress Party,history,"""HISTORY This Asian political party was founded in 1885 with """"Indian National"""" as part of its name the Congress Party""","""history asian political party founded 1885 """"indian national"""" part name congress party"""
25,4680,12/31/2004,Jeopardy!,ESPN's TOP 10 ALL-TIME ATHLETES,"$1,000 ",No. 5: Only center to lead the NBA in assists; track scholarship to Kansas U.; marathoner; volleyballer,(Wilt) Chamberlain,people,ESPN's TOP 10 ALL-TIME ATHLETES No. 5: Only center to lead the NBA in assists; track scholarship to Kansas U.; marathoner; volleyballer (Wilt) Chamberlain,espn's top 10 all-time athletes no. 5: center lead nba assists; track scholarship kansas u.; marathoner; volleyballer (wilt) chamberlain
26,4680,12/31/2004,Jeopardy!,THE COMPANY LINE,"$1,000 ","The Kirschner brothers, Don & Bill, named this ski company for themselves & the second-highest mountain",K2,organizations,"THE COMPANY LINE The Kirschner brothers, Don & Bill, named this ski company for themselves & the second-highest mountain K2","company line kirschner brothers, & bill, named ski company & second-highest mountain k2"
27,4680,12/31/2004,Jeopardy!,EPITAPHS & TRIBUTES,"$1,000 ","""Revolutionary War hero: """"His spirit is in Vermont now""""""",Ethan Allen,people,"""EPITAPHS & TRIBUTES Revolutionary War hero: """"His spirit is in Vermont now"""" Ethan Allen""","""epitaphs & tributes revolutionary war hero: """"his spirit vermont now"""" ethan allen"""
28,4680,12/31/2004,Jeopardy!,3-LETTER WORDS,"$1,000 ","A single layer of paper, or to perform one's craft diligently",ply,language,"3-LETTER WORDS A single layer of paper, or to perform one's craft diligently ply","3-letter words single layer paper, perform one's craft diligently ply"
29,4680,12/31/2004,Double Jeopardy!,DR. SEUSS AT THE MULTIPLEX,$400 ,"""<a href=""""http://www.j-archive.com/media/2004-12-31_DJ_23.mp3"""">Beyond ovoid abandonment"," beyond ovoid betrayal... you won't believe the ending when he """"Hatches the Egg""""</a>""",Horton,literature,literature
30,4680,12/31/2004,Double Jeopardy!,PRESIDENTIAL STATES OF BIRTH,$400 ,California,Nixon,people,PRESIDENTIAL STATES OF BIRTH California Nixon,presidential states birth california nixon
31,4680,12/31/2004,Double Jeopardy!,AIRLINE TRAVEL,$400 ,"It can be a place to leave your puppy when you take a trip, or a carrier for him that fits under an airplane seat",a kennel,language,"AIRLINE TRAVEL It can be a place to leave your puppy when you take a trip, or a carrier for him that fits under an airplane seat a kennel","airline travel place leave puppy take trip, carrier fits airplane seat kennel"
32,4680,12/31/2004,Double Jeopardy!,THAT OLD-TIME RELIGION,$400 ,"He's considered the author of the Pentateuch, which is hard to believe, as Deuteronomy continues after his death",Moses,people,"THAT OLD-TIME RELIGION He's considered the author of the Pentateuch, which is hard to believe, as Deuteronomy continues after his death Moses","old-time religion considered author pentateuch, hard believe, deuteronomy continues death moses"
33,4680,12/31/2004,Double Jeopardy!,MUSICAL TRAINS,$400 ,"""Steven Tyler of this band lent his steamin' vocals to """"Train Kept A-Rollin'"""""," first popularized by the Yardbirds""",Aerosmith,music,music
34,4680,12/31/2004,Double Jeopardy!,"""""""X""""s & """"O""""s""",$400 ,Around 100 A.D. Tacitus wrote a book on how this art of persuasive speaking had declined since Cicero,oratory,literature,"""""""X""""s & """"O""""s Around 100 A.D. Tacitus wrote a book on how this art of persuasive speaking had declined since Cicero oratory""","""""""x""""s & """"o""""s around 100 a.d. tacitus wrote book art persuasive speaking declined since cicero oratory"""
35,4680,12/31/2004,Double Jeopardy!,PRESIDENTIAL STATES OF BIRTH,$800 ,1 of the 2 born in Vermont,Coolidge (or Chester Arthur),people,PRESIDENTIAL STATES OF BIRTH 1 of the 2 born in Vermont Coolidge (or Chester Arthur),presidential states birth 1 2 born vermont coolidge (or chester arthur)
36,4680,12/31/2004,Double Jeopardy!,AIRLINE TRAVEL,$800 ,"When it began on Pan Am & Qantas in the late '70s, it was basically a roped-off part of the economy cabin with free drinks",business class,organizations,"AIRLINE TRAVEL When it began on Pan Am & Qantas in the late '70s, it was basically a roped-off part of the economy cabin with free drinks business class","airline travel began pan & qantas late '70s, basically roped-off part economy cabin free drinks business class"
37,4680,12/31/2004,Double Jeopardy!,THAT OLD-TIME RELIGION,$800 ,"Ali, who married this man's daughter Fatima, is considered by Shia Muslims to be his true successor",Muhammed,history,"THAT OLD-TIME RELIGION Ali, who married this man's daughter Fatima, is considered by Shia Muslims to be his true successor Muhammed","old-time religion ali, married man's daughter fatima, considered shia muslims true successor muhammed"
38,4680,12/31/2004,Double Jeopardy!,MUSICAL TRAINS,$800 ,"""During the 1954-1955 Sun sessions, Elvis climbed aboard this train """"sixteen coaches long""""""","""the """"Mystery Train""""""",history,"""MUSICAL TRAINS During the 1954-1955 Sun sessions, Elvis climbed aboard this train """"sixteen coaches long"""" the """"Mystery Train""""""","""musical trains 1954-1955 sun sessions, elvis climbed aboard train """"sixteen coaches long"""" """"mystery train"""""""
39,4680,12/31/2004,Double Jeopardy!,"""""""X""""s & """"O""""s""",$800 ,"""The shorter glass seen <a href=""""http://www.j-archive.com/media/2004-12-31_DJ_12.jpg"""" target=""""_blank"""">here</a>"," or a quaint cocktail made with sugar & bitters""",an old-fashioned,consumables,consumables
40,4680,12/31/2004,Double Jeopardy!,DR. SEUSS AT THE MULTIPLEX,"$1,200 ","""<a href=""""http://www.j-archive.com/media/2004-12-31_DJ_26.mp3"""">Ripped from today's headlines"," he was a turtle king gone mad; Mack was the one good turtle who'd bring him down</a>""",Yertle,literature,literature
41,4680,12/31/2004,Double Jeopardy!,AIRLINE TRAVEL,"$2,000 ","In 2003 this airline agreed to buy KLM, creating Europe's largest airline",Air France,organizations,"AIRLINE TRAVEL In 2003 this airline agreed to buy KLM, creating Europe's largest airline Air France","airline travel 2003 airline agreed buy klm, creating europe's largest airline air france"
42,4680,12/31/2004,Double Jeopardy!,THAT OLD-TIME RELIGION,"$1,200 ",Philadelphia got its start as a colony for this religious group of which William Penn was a member,the Quakers,history,THAT OLD-TIME RELIGION Philadelphia got its start as a colony for this religious group of which William Penn was a member the Quakers,old-time religion philadelphia got start colony religious group william penn member quakers
43,4680,12/31/2004,Double Jeopardy!,MUSICAL TRAINS,"$1,200 ","""This """"Modern Girl"""" first hit the Billboard Top 10 with """"Morning Train (Nine To Five)""""""",(Sheena) Easton,people,"""MUSICAL TRAINS This """"Modern Girl"""" first hit the Billboard Top 10 with """"Morning Train (Nine To Five)"""" (Sheena) Easton""","""musical trains """"modern girl"""" first hit billboard top 10 """"morning train (nine five)"""" (sheena) easton"""
44,4680,12/31/2004,Double Jeopardy!,"""""""X""""s & """"O""""s""","$1,200 ","This stiff silken fabric is favored for bridal gowns, like Christina Applegate's in 2001",organza,miscellaneous,"""""""X""""s & """"O""""s This stiff silken fabric is favored for bridal gowns","""""""x""""s & """"o""""s stiff silken fabric favored bridal gowns"
45,4680,12/31/2004,Double Jeopardy!,DR. SEUSS AT THE MULTIPLEX,"$1,600 ","""<a href=""""http://www.j-archive.com/media/2004-12-31_DJ_25.mp3"""">Somewhere between truth & fiction lies Marco's reality... on Halloween"," you won't believe you saw it on this St.</a>""",Mulberry Street,literature,literature
46,4680,12/31/2004,Double Jeopardy!,AIRLINE TRAVEL,"$1,600 ",In 2004 United launched this new service that features low fares & more seats per plane,Ted,organizations,AIRLINE TRAVEL In 2004 United launched this new service that features low fares & more seats per plane Ted,airline travel 2004 united launched new service features low fares & seats per plane ted
47,4680,12/31/2004,Double Jeopardy!,THAT OLD-TIME RELIGION,"$1,600 ",With Mary I's accession in 1553 he ran to Geneva; he returned in 1559 & reformed the Church of Scotland,(John) Knox,people,THAT OLD-TIME RELIGION With Mary I's accession in 1553 he ran to Geneva; he returned in 1559 & reformed the Church of Scotland (John) Knox,old-time religion mary i's accession 1553 ran geneva; returned 1559 & reformed church scotland (john) knox
48,4680,12/31/2004,Double Jeopardy!,MUSICAL TRAINS,"$1,600 ","""This band's """"Train In Vain"""" was a hidden track on its original 1979 """"London Calling"""" album""",The Clash,music,"""MUSICAL TRAINS This band's """"Train In Vain"""" was a hidden track on its original 1979 """"London Calling"""" album The Clash""","""musical trains band's """"train vain"""" hidden track original 1979 """"london calling"""" album clash"""
49,4680,12/31/2004,Double Jeopardy!,"""""""X""""s & """"O""""s""","$1,600 ","Cross-country skiing is sometimes referred to by these 2 letters, the same ones used to denote 90 in Roman numerals",XC,language,"""""""X""""s & """"O""""s Cross-country skiing is sometimes referred to by these 2 letters","""""""x""""s & """"o""""s cross-country skiing sometimes referred 2 letters"
50,4680,12/31/2004,Double Jeopardy!,DR. SEUSS AT THE MULTIPLEX,"$2,000 ","""<a href=""""http://www.j-archive.com/media/2004-12-31_DJ_24.mp3"""">""""500 Hats""""... 500 ways to die. On July 4th"," this young boy will defy a king... & become a legend</a>""",Bartholomew Cubbins,people,people
51,4680,12/31/2004,Double Jeopardy!,AIRLINE TRAVEL,"$2,000 ","""In the seat pocket you'll find the catalog called """"Sky"""" this"," with must-haves like a solar-powered patio umbrella""",Mall,miscellaneous,miscellaneous
52,4680,12/31/2004,Double Jeopardy!,THAT OLD-TIME RELIGION,"$3,200 ",In 1534 he & his buddy Francis Xavier founded the Society of Jesus,(St. Ignatius) Loyola,people,THAT OLD-TIME RELIGION In 1534 he & his buddy Francis Xavier founded the Society of Jesus (St. Ignatius) Loyola,old-time religion 1534 & buddy francis xavier founded society jesus (st. ignatius) loyola
53,4680,12/31/2004,Double Jeopardy!,MUSICAL TRAINS,"$2,000 ","""In 1961 James Brown announced """"all aboard"""" for this train""","""""""Night Train""""""",music,"""MUSICAL TRAINS In 1961 James Brown announced """"all aboard"""" for this train """"Night Train""""""","""musical trains 1961 james brown announced """"all aboard"""" train """"night train"""""""
54,4680,12/31/2004,Double Jeopardy!,"""""""X""""s & """"O""""s""","$2,000 ",This 1797 imbroglio began when 3 French agents demanded a huge bribe from U.S. diplomats,the XYZ Affair,history,"""""""X""""s & """"O""""s This 1797 imbroglio began when 3 French agents demanded a huge bribe from U.S. diplomats the XYZ Affair""","""""""x""""s & """"o""""s 1797 imbroglio began 3 french agents demanded huge bribe u.s. diplomats xyz affair"""
55,4680,12/31/2004,Final Jeopardy!,THE SOLAR SYSTEM,None,Objects that pass closer to the sun than Mercury have been named for this mythological figure,Icarus,history,THE SOLAR SYSTEM Objects that pass closer to the sun than Mercury have been named for this mythological figure Icarus,solar system objects pass closer sun mercury named mythological figure icarus
56,5957,7/6/2010,Jeopardy!,"""GEOGRAPHY """"E""""""",$200 ,It's the largest kingdom in the United Kingdom,England,geography,"""GEOGRAPHY """"E"""" It's the largest kingdom in the United Kingdom England""","""geography """"e"""" largest kingdom united kingdom england"""
57,5957,7/6/2010,Jeopardy!,RADIO DISNEY,$200 ,"""""""Party In The U.S.A."""" is by this singer who also plays a young lady named Hannah""",Miley Cyrus,people,"""RADIO DISNEY """"Party In The U.S.A."""" is by this singer who also plays a young lady named Hannah Miley Cyrus""","""radio disney """"party u.s.a."""" singer also plays young lady named hannah miley cyrus"""
58,5957,7/6/2010,Jeopardy!,PARTS OF PEACH,$200 ,"If this part of a peach is downy or fuzzy, the fruit's called a peach; if it's smooth, a nectarine",the skin,consumables,"PARTS OF PEACH If this part of a peach is downy or fuzzy, the fruit's called a peach; if it's smooth, a nectarine the skin","parts peach part peach downy fuzzy, fruit's called peach; smooth, nectarine skin"
59,5957,7/6/2010,Jeopardy!,BE FRUITFUL & MULTIPLY,$200 ,4 x 12,48,math,BE FRUITFUL & MULTIPLY 4 x 12 48,fruitful & multiply 4 x 12 48
60,5957,7/6/2010,Jeopardy!,LET'S BOUNCE,$200 ,This verb for bouncing a basketball sounds like you're slobbering,dribbling,language,LET'S BOUNCE This verb for bouncing a basketball sounds like you're slobbering dribbling,bounce verb bouncing basketball sounds like slobbering dribbling
61,5957,7/6/2010,Jeopardy!,RHYMES WITH SMART,$200 ,Blood pumper,heart,science,RHYMES WITH SMART Blood pumper heart,rhymes smart blood pumper heart
62,5957,7/6/2010,Jeopardy!,"""GEOGRAPHY """"E""""""",$400 ,"""(<a href=""""http://www.j-archive.com/media/2010-07-06_J_22.wmv"""">Tate: I'm Tate Shaffer aboard the <i>National Geographic Endeavour</i>. Alex: And...</a>) We're here in the Galapagos Islands at zero degrees latitude"," which means we're right above this imaginary line that goes all the way around the Earth""",the equator,geography,geography
63,5957,7/6/2010,Jeopardy!,RADIO DISNEY,$400 ,"""""""Everybody Else"""" knows these huggable toys precede """"On Fire"""" in the name of a Radio Disney top 30 band; do you?""",Care Bears,entertainment,"""RADIO DISNEY """"Everybody Else"""" knows these huggable toys precede """"On Fire"""" in the name of a Radio Disney top 30 band; do you? Care Bears""","""radio disney """"everybody else"""" knows huggable toys precede """"on fire"""" name radio disney top 30 band; you? care bears"""
64,5957,7/6/2010,Jeopardy!,PARTS OF PEACH,$400 ,Peaches are more than 80% this compound,H2O,science,PARTS OF PEACH Peaches are more than 80% this compound H2O,parts peach peaches 80% compound h2o
65,5957,7/6/2010,Jeopardy!,BE FRUITFUL & MULTIPLY,$400 ,7 x 7 x 2,98,math,BE FRUITFUL & MULTIPLY 7 x 7 x 2 98,fruitful & multiply 7 x 7 x 2 98
66,5957,7/6/2010,Jeopardy!,LET'S BOUNCE,$400 ,Sound navigation& ranging is the full name for this device that bounces radio waves underwater,sonar,science,LET'S BOUNCE Sound navigation& ranging is the full name for this device that bounces radio waves underwater sonar,bounce sound navigation& ranging full name device bounces radio waves underwater sonar
67,5957,7/6/2010,Jeopardy!,RHYMES WITH SMART,$400 ,"Small, slender missile thrown at a board in a game",a dart,language,"RHYMES WITH SMART Small, slender missile thrown at a board in a game a dart","rhymes smart small, slender missile thrown board game dart"
68,5957,7/6/2010,Jeopardy!,"""GEOGRAPHY """"E""""""",$600 ,"This island in the South Pacific is named for the day of its discovery, a religious holiday",Easter Island,geography,"""GEOGRAPHY """"E"""" This island in the South Pacific is named for the day of its discovery","""geography """"e"""" island south pacific named day discovery"
69,5957,7/6/2010,Jeopardy!,RADIO DISNEY,$600 ,"""""""The songs on 'Under My Skin' are...deeper than those on 'Let Go'"""" said this Canadian on Radio Disney's website""",Avril Lavigne,people,"""RADIO DISNEY """"The songs on 'Under My Skin' are...deeper than those on 'Let Go'"""" said this Canadian on Radio Disney's website Avril Lavigne""","""radio disney """"the songs 'under skin' are...deeper 'let go'"""" said canadian radio disney's website avril lavigne"""
70,5957,7/6/2010,Jeopardy!,PARTS OF PEACH,$600 ,5-letter word for the hard interior of a peach,the stone,language,PARTS OF PEACH 5-letter word for the hard interior of a peach the stone,parts peach 5-letter word hard interior peach stone
71,5957,7/6/2010,Jeopardy!,BE FRUITFUL & MULTIPLY,$600 ,3 x 4 x 5 x 6,360,math,BE FRUITFUL & MULTIPLY 3 x 4 x 5 x 6 360,fruitful & multiply 3 x 4 x 5 x 6 360
72,5957,7/6/2010,Jeopardy!,LET'S BOUNCE,$600 ,"In this kid's game, you bounce a small rubber ball while picking up 6-pronged metal objects",jacks,entertainment,"LET'S BOUNCE In this kid's game, you bounce a small rubber ball while picking up 6-pronged metal objects jacks","bounce kid's game, bounce small rubber ball picking 6-pronged metal objects jacks"
73,5957,7/6/2010,Jeopardy!,RHYMES WITH SMART,$600 ,It can be a separating line in your hair or a role in a play,a part,language,RHYMES WITH SMART It can be a separating line in your hair or a role in a play a part,rhymes smart separating line hair role play part
74,5957,7/6/2010,Jeopardy!,"""GEOGRAPHY """"E""""""",$800 ,Parts of the Arabian and Libyan deserts are found in this African country,Egypt,geography,"""GEOGRAPHY """"E"""" Parts of the Arabian and Libyan deserts are found in this African country Egypt""","""geography """"e"""" parts arabian libyan deserts found african country egypt"""
75,5957,7/6/2010,Jeopardy!,RADIO DISNEY,$800 ,"""""""I Never Told You"""" this alliteratively named singer hit Disney's Top 30 with """"Fallin' For You""""; wait"," I just did""",Colbie Caillat,people,people
76,5957,7/6/2010,Jeopardy!,PARTS OF PEACH,$800 ,"These parts of a peach tree are glossy green, pointed & lance shaped",leaves,nature,"PARTS OF PEACH These parts of a peach tree are glossy green, pointed & lance shaped leaves","parts peach parts peach tree glossy green, pointed & lance shaped leaves"
77,5957,7/6/2010,Jeopardy!,BE FRUITFUL & MULTIPLY,$800 ,5 x 10 x 15,750,math,BE FRUITFUL & MULTIPLY 5 x 10 x 15 750,fruitful & multiply 5 x 10 x 15 750
78,5957,7/6/2010,Jeopardy!,LET'S BOUNCE,$800 ,"It's a type of bounce house, or a dance made famous by Michael Jackson",the moonwalk,language,"LET'S BOUNCE It's a type of bounce house, or a dance made famous by Michael Jackson the moonwalk","bounce type bounce house, dance made famous michael jackson moonwalk"
79,5957,7/6/2010,Jeopardy!,RHYMES WITH SMART,$800 ,A graphic representation of information,a chart,language,RHYMES WITH SMART A graphic representation of information a chart,rhymes smart graphic representation information chart
80,5957,7/6/2010,Jeopardy!,"""GEOGRAPHY """"E""""""","$2,000 ",The family history you wrote for school might include entering the U.S. at this island in New York Bay,Ellis Island,geography,"""GEOGRAPHY """"E"""" The family history you wrote for school might include entering the U.S. at this island in New York Bay Ellis Island""","""geography """"e"""" family history wrote school might include entering u.s. island new york bay ellis island"""
81,5957,7/6/2010,Jeopardy!,RADIO DISNEY,"$1,000 ","""Lead singer Ryan Tedder of this band has """"All The Right Moves""""""",OneRepublic,music,"""RADIO DISNEY Lead singer Ryan Tedder of this band has """"All The Right Moves"""" OneRepublic""","""radio disney lead singer ryan tedder band """"all right moves"""" onerepublic"""
82,5957,7/6/2010,Jeopardy!,PARTS OF PEACH,"$1,000 ",These parts of a peach tree grow at nodes along the shoots of the previous season's growth; they're usually pink,blossoms,nature,PARTS OF PEACH These parts of a peach tree grow at nodes along the shoots of the previous season's growth; they're usually pink blossoms,parts peach parts peach tree grow nodes along shoots previous season's growth; usually pink blossoms
83,5957,7/6/2010,Jeopardy!,BE FRUITFUL & MULTIPLY,"$1,000 ","2 x 1,035","2,070",language,"BE FRUITFUL & MULTIPLY 2 x 1,035 2070","fruitful & multiply 2 x 1,035 2070"
84,5957,7/6/2010,Jeopardy!,LET'S BOUNCE,"$1,000 ","""This device whose name is from the Italian for """"springboard"""" was perfected in the 1930s""",a trampoline,language,"""LET'S BOUNCE This device whose name is from the Italian for """"springboard"""" was perfected in the 1930s a trampoline""","""let's bounce device whose name italian """"springboard"""" perfected 1930s trampoline"""
85,5957,7/6/2010,Jeopardy!,RHYMES WITH SMART,"$1,000 ",Composer Wolfgang,Mozart,people,RHYMES WITH SMART Composer Wolfgang Mozart,rhymes smart composer wolfgang mozart
86,5957,7/6/2010,Double Jeopardy!,SCIENCE CLASS,$400 ,99.95% of the mass of an atom is in this part,the nucleus,science,SCIENCE CLASS 99.95% of the mass of an atom is in this part the nucleus,science class 99.95% mass atom part nucleus
87,5957,7/6/2010,Double Jeopardy!,KIDS IN SPORTS,$400 ,"Park View of Chula Vista, California beat Taipei 6-3 to win this organization's 2009 World Series",the Little League,organizations,"KIDS IN SPORTS Park View of Chula Vista, California beat Taipei 6-3 to win this organization's 2009 World Series the Little League","kids sports park view chula vista, california beat taipei 6-3 win organization's 2009 world series little league"
88,5957,7/6/2010,Double Jeopardy!,JUST THE FACTS,$400 ,This hero of several books is 11 when he discovers he's a wizard,Harry Potter,literature,JUST THE FACTS This hero of several books is 11 when he discovers he's a wizard Harry Potter,facts hero several books 11 discovers wizard harry potter
